ACTUAL_DATES,NEW_DATE,BC_1MONTH,BC_2MONTH,BC_3MONTH,BC_4MONTH,BC_5MONTH,BC_6MONTH,BC_7MONTH,BC_8MONTH,BC_9MONTH,BC_10MONTH,BC_11MONTH,BC_1YEAR,BC_2YEAR,BC_3YEAR,BC_4YEAR,BC_5YEAR,BC_6YEAR,BC_7YEAR,BC_8YEAR,BC_9YEAR,BC_10YEAR,BC_15YEAR,BC_20YEAR,BC_25YEAR,BC_30YEAR,BC_30YEARDISPLAY
2/1/2018,2/1/2018,,,-0.515809715,-0.517444149,-0.51763035,-0.516437505,-0.513932643,-0.510180662,-0.505244356,-0.499184444,-0.492059601,-0.4839265,-0.325742251,-0.102308854,0.140697088,0.377831732,0.596489588,0.791721725,0.962848548,1.111362426,1.239693105,1.666173602,1.892832867,2.029915609,2.121384806,2.121384806
2/2/2018,2/2/2018,,,-0.512719241,-0.514161832,-0.514153182,-0.512759352,-0.510044783,-0.506072267,-0.500902916,-0.494596153,-0.487209698,-0.478799564,-0.31612666,-0.086924474,0.161652939,0.403211917,0.624825084,0.821626205,0.993202992,1.141356925,1.268795828,1.688629722,1.910052057,2.043742081,2.132924181,2.132924181
2/3/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/4/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/5/2018,2/5/2018,,,-0.524293458,-0.524402293,-0.523382622,-0.521258562,-0.518056666,-0.513805556,-0.50853559,-0.502278556,-0.495067402,-0.486935983,-0.330317495,-0.104167588,0.146253078,0.392475767,0.619524212,0.821321123,0.996955169,1.148154677,1.277754001,1.701165178,1.922685203,2.056199405,2.145242044,2.145242044
2/6/2018,2/6/2018,,,-0.526327053,-0.526513216,-0.525599262,-0.523606741,-0.520559791,-0.516484762,-0.511409877,-0.505364923,-0.49838097,-0.490490115,-0.337300588,-0.11453941,0.133211238,0.377583146,0.603475688,0.804631888,0.979975756,1.131107689,1.260771367,1.685015453,1.907196935,2.041130589,2.130454517,2.130454517
2/7/2018,2/7/2018,,,-0.523367746,-0.52426955,-0.524076976,-0.522805785,-0.520475125,-0.517107078,-0.512726246,-0.507359378,-0.501035026,-0.493783235,-0.346359569,-0.126202823,0.120739729,0.364928568,0.590629997,0.791354088,0.966006562,1.116255819,1.244930727,1.66449531,1.883609888,2.015628564,2.103670037,2.103670037
2/8/2018,2/8/2018,,,-0.511878136,-0.513956702,-0.514535254,-0.513677003,-0.511444278,-0.507898418,-0.503099667,-0.497107088,-0.48997849,-0.481770366,-0.317679251,-0.082400748,0.173628788,0.421982646,0.648879259,0.849327532,1.023137211,1.172441585,1.30026984,1.717690813,1.936219033,2.067969235,2.155839701,2.155839701
2/9/2018,2/9/2018,,,-0.512487727,-0.51537262,-0.516846771,-0.516950809,-0.51572727,-0.513220208,-0.509474859,-0.504537326,-0.498454302,-0.491272825,-0.336207635,-0.10304041,0.155061586,0.406667551,0.636287833,0.838314514,1.012552143,1.16138011,1.288123614,1.69780698,1.910503376,2.038547381,2.123930798,2.123930798
2/10/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/11/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2018,2/12/2018,,,-0.530779825,-0.53154577,-0.531217965,-0.529798632,-0.527295703,-0.523722115,-0.519095155,-0.513435867,-0.506768523,-0.499120129,-0.342764529,-0.108827732,0.151942216,0.407171232,0.640333337,0.845288955,1.021711071,1.172054214,1.299790113,1.710788944,1.92337881,2.05128163,2.136565483,2.136565483
2/13/2018,2/13/2018,,,-0.532141001,-0.532149732,-0.531124141,-0.52906485,-0.525977923,-0.521874205,-0.516768715,-0.5106801,-0.503630134,-0.495643257,-0.337739713,-0.104329291,0.156155792,0.412164713,0.647169484,0.854715913,1.034123336,1.187562883,1.318316283,1.741035069,1.960406124,2.092448678,2.180496687,2.180496687
2/14/2018,2/14/2018,,,-0.528959301,-0.530157587,-0.530018461,-0.528579611,-0.525880616,-0.521962573,-0.516867777,-0.510639423,-0.503321339,-0.494957751,-0.328916181,-0.088335839,0.17573794,0.432796935,0.66762979,0.874634084,1.05354276,1.206670138,1.337307946,1.760901157,1.981334236,2.114084414,2.202609536,2.202609536
2/15/2018,2/15/2018,,,-0.525787428,-0.526546252,-0.525956907,-0.524063756,-0.520912158,-0.516548197,-0.511018431,-0.50436967,-0.496648775,-0.48790248,-0.319242113,-0.079449972,0.181868612,0.435547787,0.667159332,0.871431877,1.048165433,1.199618504,1.328986438,1.749485213,1.968752225,2.10084774,2.188940028,2.188940028
2/16/2018,2/16/2018,,,-0.537476326,-0.536251272,-0.534014684,-0.530780656,-0.52656652,-0.521392418,-0.515280915,-0.50825664,-0.500345964,-0.49157671,-0.330498173,-0.102656004,0.148683517,0.395605421,0.623244658,0.825530331,1.001549647,1.153039635,1.282850606,1.706681376,1.928288525,2.061839017,2.150904462,2.150904462
2/17/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/18/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/19/2018,2/19/2018,,,-0.545330248,-0.543384561,-0.540309906,-0.53614628,-0.530933874,-0.524712925,-0.517523586,-0.509405806,-0.500399225,-0.49054308,-0.319439376,-0.088765738,0.160757545,0.404480251,0.629505547,0.830521223,1.006653445,1.159361303,1.29113975,1.727444815,1.95834726,2.097836421,2.190893008,2.190893008
2/20/2018,2/20/2018,,,-0.547747966,-0.544518302,-0.540399684,-0.535406689,-0.529556244,-0.522867318,-0.515360636,-0.507058423,-0.497984168,-0.488162407,-0.32162823,-0.096481136,0.149802356,0.392446522,0.617727357,0.81961921,0.99679985,1.150497948,1.283116387,1.72155126,1.953082004,2.092865043,2.186108347,2.186108347
2/21/2018,2/21/2018,,,-0.539358763,-0.536924076,-0.533472296,-0.529033004,-0.523636745,-0.517314832,-0.510099163,-0.502022061,-0.49311612,-0.483414078,-0.316562815,-0.091132641,0.154246594,0.395250608,0.618736247,0.819038841,0.994982284,1.147806991,1.279863709,1.71791128,1.949997615,2.090221744,2.183769896,2.183769896
2/22/2018,2/22/2018,,,-0.53152402,-0.531145432,-0.529437645,-0.526461837,-0.522277527,-0.51694257,-0.510513155,-0.503043812,-0.494587421,-0.485195223,-0.315994438,-0.085710497,0.162572064,0.404395542,0.627455686,0.826845872,1.001854328,1.153938003,1.285509292,1.723718793,1.957035115,2.098196911,2.192393207,2.192393207
2/23/2018,2/23/2018,,,-0.512956498,-0.515455076,-0.516359028,-0.515752319,-0.513715522,-0.510325939,-0.505657705,-0.499781905,-0.492766677,-0.484677314,-0.324123997,-0.096995441,0.149000802,0.388363489,0.608841202,0.805776357,0.978636859,1.128953048,1.259133232,1.694179915,1.926803291,2.067734391,2.161801661,2.161801661
2/24/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/25/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/26/2018,2/26/2018,,,-0.520222632,-0.522031894,-0.522342294,-0.521229643,-0.518766955,-0.515024525,-0.510069999,-0.503968454,-0.496782472,-0.488572206,-0.329047554,-0.104713807,0.138551754,0.375701633,0.594470591,0.79007365,0.961857642,1.111266691,1.240655315,1.672757584,1.903535248,2.043287686,2.136559575,2.136559575
2/27/2018,2/27/2018,,,-0.527540458,-0.527919262,-0.526861388,-0.524440904,-0.520729102,-0.515794572,-0.509703285,-0.502518664,-0.494301661,-0.485110832,-0.317212265,-0.089218155,0.154751995,0.390871765,0.607683241,0.800911754,0.970211585,1.117201186,1.244325185,1.667990683,1.893923306,2.030702755,2.121986509,2.121986509
2/28/2018,2/28/2018,,,-0.517141481,-0.519776632,-0.520840495,-0.520410099,-0.518559984,-0.515362223,-0.510886465,-0.505199967,-0.498367642,-0.490452093,-0.330825055,-0.1026471,0.14499121,0.385362619,0.605647604,0.801136028,0.971518089,1.118639411,1.245212709,1.662527571,1.882851533,2.01591802,2.104688659,2.104688659
3/1/2018,3/1/2018,,,-0.516056703,-0.520741979,-0.523607836,-0.52475558,-0.524282029,-0.522279688,-0.51883692,-0.514038113,-0.50796384,-0.500691009,-0.343530159,-0.11495489,0.13233764,0.371370025,0.589848544,0.783546292,0.952425862,1.098428045,1.22425418,1.641141162,1.862492138,1.996393842,2.085747693,2.085747693
3/2/2018,3/2/2018,,,-0.518330661,-0.522884707,-0.525667749,-0.526777269,-0.526306481,-0.524344498,-0.520976493,-0.516283856,-0.510344342,-0.503232214,-0.3492599,-0.124544222,0.119427719,0.356029311,0.572939568,0.765768334,0.934291713,1.080286684,1.206326878,1.625241533,1.848264067,1.983257815,2.073349467,2.073349467
3/3/2018,3/5/2018,,,-0.550058845,-0.549838096,-0.548273667,-0.545428791,-0.541364915,-0.536141698,-0.529817019,-0.522446981,-0.514085932,-0.504786473,-0.336867851,-0.108861065,0.135902027,0.373209329,0.591147526,0.785178813,0.954875638,1.101885531,1.228731551,1.649203638,1.872194922,2.006996901,2.096937625,2.096937625
3/4/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/5/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
