ACTUAL_DATES,NEW_DATE,BC_1MONTH,BC_2MONTH,BC_3MONTH,BC_4MONTH,BC_5MONTH,BC_6MONTH,BC_7MONTH,BC_8MONTH,BC_9MONTH,BC_10MONTH,BC_11MONTH,BC_1YEAR,BC_2YEAR,BC_3YEAR,BC_4YEAR,BC_5YEAR,BC_6YEAR,BC_7YEAR,BC_8YEAR,BC_9YEAR,BC_10YEAR,BC_15YEAR,BC_20YEAR,BC_25YEAR,BC_30YEAR,BC_30YEARDISPLAY
2/6/2019,2/6/2019,,,-0.377746821,-0.359220286,-0.341086414,-0.323328445,-0.305930279,-0.288876446,-0.272152092,-0.255742951,-0.239635328,-0.223816078,-0.052364429,0.095545727,0.229925969,0.356342635,0.477631926,0.595017207,0.708823348,0.818922294,0.925001668,1.385475506,1.726158578,1.969060527,2.143217643,2.143217643
2/7/2019,2/7/2019,,,-0.384162202,-0.362510601,-0.341420769,-0.320869533,-0.300834588,-0.281294464,-0.262228507,-0.243616839,-0.225440344,-0.207680631,-0.021274219,0.130683512,0.262887121,0.383910861,0.498470973,0.608920696,0.716223557,0.820575031,0.921789679,1.369797438,1.709527189,1.955001195,2.132152171,2.132152171
2/8/2019,2/8/2019,,,-0.371552825,-0.347935722,-0.325015451,-0.302763144,-0.281150998,-0.26015224,-0.239741092,-0.219892741,-0.200583302,-0.181789791,0.010754084,0.161105566,0.287863068,0.40199547,0.50962116,0.613854446,0.71601562,0.816410351,0.914820436,1.361544462,1.709726431,1.964710356,2.149891453,2.149891453
2/9/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/10/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/11/2019,2/11/2019,,,-0.383608871,-0.363379414,-0.343648164,-0.324394084,-0.305596941,-0.287237274,-0.269296365,-0.251756223,-0.234599549,-0.217809717,-0.03971698,0.108531481,0.239985131,0.36211312,0.478894679,0.592196012,0.702662647,0.810285796,0.914751836,1.376939904,1.726798796,1.979354801,2.161569243,2.161569243
2/12/2019,2/12/2019,,,-0.379841544,-0.358340056,-0.337411409,-0.317031641,-0.297177687,-0.27782735,-0.258959272,-0.240552907,-0.222588493,-0.205047021,-0.021547514,0.127450609,0.257084657,0.376144867,0.489420677,0.599252704,0.706544003,0.811406463,0.913563571,1.369931112,1.719309045,1.972962785,2.156458888,2.156458888
2/13/2019,2/13/2019,,,-0.389389793,-0.370546077,-0.352131807,-0.334128531,-0.316518511,-0.2992847,-0.282410714,-0.265880816,-0.249679887,-0.233793406,-0.063129983,0.082196236,0.213364617,0.336644199,0.455261871,0.570627349,0.683122381,0.792597621,0.89867575,1.36540616,1.716238301,1.96858454,2.150348972,2.150348972
2/14/2019,2/14/2019,,,-0.38641276,-0.366533163,-0.347169149,-0.328298692,-0.309900597,-0.291954481,-0.274440735,-0.257340508,-0.240635673,-0.224308808,-0.052386542,0.089208994,0.214172919,0.330341271,0.441875674,0.550706061,0.657468428,0.762102034,0.864219406,1.321470425,1.672056195,1.926784336,2.111160064,2.111160064
2/15/2019,2/15/2019,,,-0.37542899,-0.356607246,-0.338225368,-0.3202644,-0.302706122,-0.285533017,-0.268728252,-0.252275653,-0.236159681,-0.220365412,-0.051245415,0.092066254,0.221087291,0.342288316,0.45900724,0.572706167,0.683782423,0.792080159,0.897203254,1.361606201,1.712240145,1.965011879,2.147283246,2.147283246
2/16/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/17/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/18/2019,2/18/2019,,,-0.394879922,-0.377584723,-0.360645105,-0.344045354,-0.32777038,-0.311805693,-0.296137385,-0.28075211,-0.26563706,-0.250779952,-0.088779274,0.052791134,0.183114602,0.307172781,0.427380006,0.544648183,0.659067078,0.770327646,0.877975968,1.349193573,1.701005618,1.953153172,2.134477964,2.134477964
2/19/2019,2/19/2019,,,-0.388208288,-0.369893255,-0.351989599,-0.334479467,-0.317345701,-0.300571815,-0.284141969,-0.268040949,-0.252254144,-0.236767526,-0.069948473,0.072870782,0.202418272,0.324662287,0.442630089,0.557599375,0.669864878,0.77922004,0.885249986,1.352195589,1.703427553,1.956147416,2.138221279,2.138221279
2/20/2019,2/20/2019,,,-0.383218962,-0.363280025,-0.343854571,-0.324920707,-0.306457366,-0.288444285,-0.270861978,-0.253691703,-0.236915446,-0.220515889,-0.047655361,0.094915927,0.220811735,0.337824027,0.45009447,0.559548149,0.666825225,0.771874076,0.874318677,1.332287738,1.682837403,1.93733325,2.12146901,2.12146901
2/21/2019,2/21/2019,,,-0.383402988,-0.363315972,-0.343723251,-0.324603919,-0.305937862,-0.287705735,-0.269888937,-0.252469581,-0.235430476,-0.218755098,-0.041824874,0.105566152,0.236379723,0.358027532,0.474450314,0.587487638,0.697765854,0.80526175,0.909650403,1.371926159,1.722218933,1.975245399,2.157864781,2.157864781
2/22/2019,2/22/2019,,,-0.384026353,-0.364052411,-0.344596264,-0.325635835,-0.307149884,-0.28911798,-0.271520468,-0.25433845,-0.237553757,-0.221148921,-0.04842306,0.093776861,0.219199792,0.335723418,0.447540716,0.556604624,0.663567585,0.768380283,0.870662929,1.328650477,1.679883334,1.935148426,2.119946544,2.119946544
2/23/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/24/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,
